Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM
Keegan Kolesar,26,VEG,RW,79,8,10,18,-8,49
Luke Kunin,26,SJS,C,77,11,7,18,-30,83
Sean Kuraly,31,CBJ,C,62,9,9,18,-5,40
Adam Larsson,31,SEA,D,81,4,14,18,6,55
Olli Määttä,29,DET,D,72,4,14,18,14,14
Dylan Samberg,25,WPG,D,78,1,17,18,16,43
Joey Anderson,25,CHI,RW,55,5,12,17,5,8
Garnet Hathaway,32,PHI,RW,82,7,10,17,-7,132
Pontus Holmberg,24,TOR,RW,54,7,10,17,11,18
Peyton Krebs,23,BUF,C,80,4,13,17,2,67
Evgeny Kuznetsov,31,2TM,C,63,8,16,24,-11,30
Evgeny Kuznetsov,31,WSH,C,43,6,11,17,-11,24
Evgeny Kuznetsov,31,CAR,C,20,2,5,7,0,6
Jackson LaCombe,23,ANA,D,71,2,15,17,-24,24
Ryan Lindgren,25,NYR,D,76,3,14,17,22,36
Alec Martinez,36,VEG,D,55,4,13,17,-2,6
Niko Mikkola,27,FLA,D,82,3,14,17,11,69
Scott Perunovich,25,STL,D,54,0,17,17,1,12
Ryan Suter,39,DAL,D,82,2,15,17,14,28
Juuso Välimäki,25,ARI,D,68,2,15,17,12,12
Nicolas Aubé-Kubel,27,WSH,RW,60,6,10,16,4,23
André Burakovsky,28,SEA,LW,49,7,9,16,-15,14
Brian Dumoulin,32,SEA,D,80,6,10,16,3,20
Martin Fehérváry,24,WSH,D,66,3,13,16,-7,24
Dougie Hamilton,30,NJD,D,20,5,11,16,-8,20
Jack Johnson,37,COL,D,80,3,13,16,15,38
Kent Johnson,21,CBJ,C,42,6,10,16,-2,10
Brett Kulak,30,EDM,D,82,3,13,16,0,30
Trevor Lewis,37,LAK,C,82,8,8,16,7,20
Pat Maroon,35,2TM,LW,51,4,12,16,-11,60
Pat Maroon,35,MIN,LW,49,4,12,16,-11,60
Pat Maroon,35,BOS,LW,2,0,0,0,0,0
Adam Pelech,29,NYI,D,58,1,15,16,-2,27
Lukas Reichel,21,CHI,LW,65,5,11,16,-29,12
Brandon Tanev,32,SEA,LW,66,7,9,16,2,51
Alex Vlasic,22,CHI,D,76,2,14,16,-4,45
Kailer Yamamoto,25,SEA,RW,59,8,8,16,-9,18
Viktor Arvidsson,30,LAK,LW,18,6,9,15,4,14
Tyson Barrie,32,NSH,D,41,1,14,15,-10,16
Jeff Carter,39,PIT,C,72,11,4,15,-7,12
Nick Cousins,30,FLA,C,69,7,8,15,1,64
Frédérick Gaudreau,30,MIN,C,67,5,10,15,-23,12
Mark Jankowski,29,NSH,C,32,7,8,15,11,8
Max Jones,25,ANA,LW,52,5,10,15,-6,33
Arthur Kaliyev,22,LAK,RW,51,7,8,15,-3,14
Kevin Korchinski,19,CHI,D,76,5,10,15,-39,20
Dominik Kubalík,28,OTT,LW,74,11,4,15,-30,19
Blake Lizotte,26,LAK,C,62,7,8,15,11,20
Alexander Nylander,25,2TM,LW,28,11,4,15,-1,6
Alexander Nylander,25,CBJ,LW,23,11,4,15,-1,6
Alexander Nylander,25,PIT,LW,5,0,0,0,0,0
Jamie Oleksiak,31,SEA,D,82,2,13,15,-2,37
Victor Olofsson,28,BUF,RW,51,7,8,15,-1,4
Matthew Poitras,19,BOS,C,33,5,10,15,4,6
Conor Sheary,31,TBL,LW,57,4,11,15,-3,12
Brendan Smith,34,NJD,D,63,5,10,15,-3,61
Kevin Stenlund,27,FLA,C,81,11,4,15,-10,62
Tomáš Tatar,33,2TM,LW,70,9,15,24,8,20
Tomáš Tatar,33,SEA,LW,43,8,7,15,8,10
Tomáš Tatar,33,COL,LW,27,1,8,9,0,10
Trevor Zegras,22,ANA,C,31,6,9,15,-1,30
Justin Bailey,28,SJS,RW,59,5,9,14,-15,6
Jacob Bernard-Docker,23,OTT,D,72,4,10,14,-7,25
Zach Bogosian,33,2TM,D,65,3,11,14,11,63
Zach Bogosian,33,MIN,D,61,3,11,14,11,63
Zach Bogosian,33,TBL,D,4,0,0,0,0,0
Jesper Boqvist,25,BOS,C,47,6,8,14,12,8
Brandon Carlo,27,BOS,D,76,4,10,14,23,42
Connor Dewar,24,2TM,C,74,11,8,19,-8,28
Connor Dewar,24,MIN,C,57,10,4,14,-6,20
Connor Dewar,24,TOR,C,17,1,4,5,-2,8
Hudson Fasching,28,NYI,RW,45,4,10,14,-7,6
Zemgus Girgensons,30,BUF,C,63,8,6,14,-1,21
Ryan Graves,28,PIT,D,70,3,11,14,10,30
Jordan Harris,23,MTL,D,56,3,11,14,-5,22
Tanner Jeannot,26,TBL,F,55,7,7,14,-10,75
Nick Jensen,33,WSH,D,78,1,13,14,-9,10
Jeremy Lauzon,26,NSH,D,79,6,8,14,-3,98
Liam O'Brien,29,ARI,C,75,5,9,14,0,153
Taylor Raddysh,25,CHI,RW,73,5,9,14,-19,22
Nate Schmidt,32,WPG,D,63,2,12,14,10,16
Logan Stankoven,20,DAL,C,24,6,8,14,10,4
Chris Tanev,34,2TM,D,75,2,17,19,22,24
Chris Tanev,34,CGY,D,56,1,13,14,16,14
Chris Tanev,34,DAL,D,19,1,4,5,6,10
Yakov Trenin,27,2TM,C,76,12,5,17,15,40
Yakov Trenin,27,NSH,C,60,10,4,14,12,38
Yakov Trenin,27,COL,C,16,2,1,3,3,2
Urho Vaakanainen,25,ANA,D,68,1,13,14,0,26
Trevor van Riemsdyk,32,WSH,D,70,0,14,14,-7,18
Zach Whitecloud,27,VEG,D,61,2,12,14,-3,32
Nikita Zadorov,28,2TM,D,75,6,14,20,0,125
Nikita Zadorov,28,VAN,D,54,5,9,14,6,102
Nikita Zadorov,28,CGY,D,21,1,5,6,-6,23
Alexander Barabanov,29,SJS,F,46,4,9,13,-24,12
Justin Barron,22,MTL,D,48,7,6,13,-3,16
Jake Bean,25,CBJ,D,72,4,9,13,-10,32
Erik Černák,26,TBL,D,69,2,11,13,5,63
Dante Fabbro,25,NSH,D,56,3,10,13,9,24
Cody Glass,24,NSH,C,41,6,7,13,-9,20
Johnathan Kovacevic,26,MTL,D,62,6,7,13,11,42
Mason Lohrei,23,BOS,D,41,4,9,13,-2,18
Tanner Pearson,31,MTL,LW,54,5,8,13,-12,21
Corey Perry,38,2TM,RW,54,12,10,22,-6,46
Corey Perry,38,EDM,RW,38,8,5,13,-1,34
Corey Perry,38,CHI,RW,16,4,5,9,-5,12
Brett Pesce,29,CAR,D,70,3,10,13,10,20
Nick Seeler,30,PHI,D,71,1,12,13,9,78
Nico Sturm,28,SJS,C,63,5,8,13,-25,12
Nathan Walker,29,STL,C,45,7,6,13,-1,18
Calen Addison,23,2TM,D,72,1,16,17,-38,72
Calen Addison,23,SJS,D,60,1,11,12,-35,66
Calen Addison,23,MIN,D,12,0,5,5,-3,6
Nathan Bastian,26,NJD,RW,54,5,7,12,-10,32
Colin Blackwell,30,CHI,C,44,8,4,12,-2,10
Connor Brown,30,EDM,RW,71,4,8,12,-8,10
Ryan Carpenter,33,SJS,C,62,5,7,12,-16,6
Barclay Goodrow,30,NYR,RW,80,4,8,12,-13,78
A.J. Greer,27,CGY,LW,59,6,6,12,-7,35
Noah Gregor,25,TOR,C,63,6,6,12,-7,17
Carl Grundström,26,LAK,RW,50,8,4,12,-2,12
Nicolas Hague,25,VEG,D,73,2,10,12,-5,43
Jani Hakanpää,31,DAL,D,64,2,10,12,10,33
Mattias Janmark,31,EDM,C,71,4,8,12,0,46
Mathieu Olivier,26,CBJ,F,54,5,7,12,-4,70
Juuso Pärssinen,22,NSH,C,44,8,4,12,-6,12
Michael Pezzetta,25,MTL,C,61,3,9,12,4,59
Derek Ryan,37,EDM,C,70,5,7,12,-3,8
Chris Tierney,29,NJD,C,52,4,8,12,3,21
Marc-Édouard Vlasic,36,SJS,D,57,6,6,12,-27,26
Kevin Bahl,23,NJD,D,82,1,10,11,1,82
Emil Bemström,24,2TM,C,56,8,8,16,-5,12
Emil Bemström,24,CBJ,C,32,5,6,11,-5,10
Emil Bemström,24,PIT,C,24,3,2,5,0,2
Thomas Bordeleau,22,SJS,C,27,6,5,11,-18,18
Sam Carrick,31,2TM,C,77,10,6,16,-11,102
Sam Carrick,31,ANA,C,61,8,3,11,-11,90
Sam Carrick,31,EDM,C,16,2,3,5,0,12
Ian Cole,34,VAN,D,78,2,9,11,10,61
Tony DeAngelo,28,CAR,D,31,3,8,11,-7,24
Vincent Desharnais,27,EDM,D,78,1,10,11,3,54
MacKenzie Entwistle,24,CHI,RW,67,5,6,11,-29,47
Luke Glendening,34,TBL,C,81,10,1,11,-2,39
Matt Grzelcyk,30,BOS,D,63,2,9,11,13,37
Pierre-Olivier Joseph,24,PIT,D,52,2,9,11,-3,14
Isac Lundeström,24,ANA,C,46,5,6,11,-1,2
Jonathon Merrill,31,MIN,D,65,4,7,11,0,30
Henry Thrun,22,SJS,D,51,3,8,11,-22,16
John Beecher,22,BOS,C,52,7,3,10,-6,24
Adam Boqvist,23,CBJ,D,35,1,9,10,-8,0
Josh Brown,30,ARI,D,51,3,7,10,2,75
Calvin de Haan,32,TBL,D,59,3,7,10,-9,22
Phillip Di Giuseppe,30,VAN,LW,51,5,5,10,-1,36
Mathew Dumba,29,2TM,D,76,4,8,12,-18,88
Mathew Dumba,29,ARI,D,58,4,6,10,-13,55
Mathew Dumba,29,TBL,D,18,0,2,2,-5,33
Ty Emberson,23,SJS,D,30,1,9,10,-4,6
Andreas Englund,28,LAK,D,82,1,9,10,-3,81
Sam Gagner,34,EDM,C,28,5,5,10,-2,10
Alex Goligoski,38,MIN,D,36,0,10,10,-8,18
Rafaël Harvey-Pinard,25,MTL,LW,45,2,8,10,-2,6
Barrett Hayton,23,ARI,C,33,3,7,10,-13,26
Ben Hutton,30,VEG,D,41,2,8,10,12,17
David Jiříček,20,CBJ,D,43,1,9,10,-4,22
Mark Kastelic,24,OTT,C,63,5,5,10,-5,63
Klim Kostin,24,2TM,C,52,8,6,14,-12,53
Klim Kostin,24,SJS,C,19,5,5,10,-10,15
Klim Kostin,24,DET,C,33,3,1,4,-2,38
Jakub Lauko,23,BOS,C,60,2,8,10,-3,32
Sam Malinski,25,COL,D,23,3,7,10,3,6
Zach Parise,39,COL,LW,30,5,5,10,-7,8
Jayden Struble,22,MTL,D,56,3,7,10,-3,57
Conor Timmins,25,TOR,D,25,1,9,10,9,18
Arber Xhekaj,23,MTL,D,44,3,7,10,6,81
Sebastian Aho,27,NYI,D,58,2,7,9,-7,12
Andreas Athanasiou,29,CHI,C,28,2,7,9,-7,7
Alex Barré-Boulet,26,TBL,F,36,6,3,9,-9,10
Zachary Bolduc,20,STL,C,25,5,4,9,0,6
Matthew Coronato,21,CGY,RW,34,3,6,9,-15,4
Ty Dellandrea,23,DAL,C,42,2,7,9,-10,23
Josh Doan,21,ARI,RW,11,5,4,9,6,0
Christian Dvorak,27,MTL,C,30,5,4,9,-5,4
Ryker Evans,22,SEA,D,36,1,8,9,-5,20
Julien Gauthier,26,NYI,RW,27,5,4,9,-5,8
Mark Giordano,40,TOR,D,46,3,6,9,10,49
Dylan Holloway,22,EDM,C,38,6,3,9,-1,29
Zachary Jones,23,NYR,D,31,2,7,9,1,8
Boris Katchouk,25,2TM,LW,59,7,6,13,-6,12
Boris Katchouk,25,CHI,LW,38,5,4,9,-2,12
Boris Katchouk,25,OTT,LW,21,2,2,4,-4,0
Joel Kiviranta,27,COL,F,56,3,6,9,-1,12
Kaedan Korczak,23,VEG,D,26,1,8,9,12,8
Kevin Labanc,28,SJS,RW,46,2,7,9,-27,16
Patrik Laine,25,CBJ,RW,18,6,3,9,-10,6
Vinni Lettieri,28,MIN,C,46,5,4,9,-7,24
Jacob MacDonald,30,SJS,D,34,7,2,9,-14,23
Kyle MacLean,24,NYI,F,32,4,5,9,5,11
Josh Mahura,25,FLA,D,30,0,9,9,-2,20
Tyler Motte,28,TBL,C,69,6,3,9,-8,28
Fredrik Olofsson,27,COL,LW,57,3,6,9,-5,8
Eric Robinson,28,2TM,LW,47,3,7,10,-3,19
Eric Robinson,28,BUF,LW,40,2,7,9,0,19
Eric Robinson,28,CBJ,LW,7,1,0,1,-3,0
Joshua Roy,20,MTL,RW,23,4,5,9,-2,0
Adam Ružička,24,2TM,C,42,3,6,9,-9,12
Adam Ružička,24,CGY,C,39,3,6,9,-8,6
Adam Ružička,24,ARI,C,3,0,0,0,-1,6
Jonas Siegenthaler,26,NJD,D,57,1,8,9,-7,20
Jarred Tinordi,31,CHI,D,52,0,9,9,-27,64
Olen Zellweger,20,ANA,D,26,2,7,9,-6,4
Anthony Beauvillier,26,3TM,LW,60,5,12,17,-8,8
Anthony Beauvillier,26,VAN,LW,22,2,6,8,8,4
Anthony Beauvillier,26,CHI,LW,23,2,4,6,-10,2
Anthony Beauvillier,26,NSH,LW,15,1,2,3,-6,2
Travis Boyd,30,ARI,C,16,2,6,8,3,2
Brendan Brisson,22,VEG,C,15,2,6,8,-5,2
Jacob Bryson,26,BUF,D,36,1,7,8,5,8
Kyle Burroughs,28,SJS,D,73,2,6,8,-42,71
William Carrier,29,VEG,LW,39,6,2,8,3,16
Declan Chisholm,24,2TM,D,31,3,6,9,-7,18
Declan Chisholm,24,MIN,D,29,3,5,8,-8,18
Declan Chisholm,24,WPG,D,2,0,1,1,1,0
Brandon Duhaime,26,2TM,RW,80,5,8,13,-5,70
Brandon Duhaime,26,MIN,RW,62,4,4,8,-7,66
Brandon Duhaime,26,COL,RW,18,1,4,5,2,4
Cole Guttman,24,CHI,C,27,4,4,8,-17,7
Dryden Hunt,28,CGY,LW,28,3,5,8,1,7
Oliver Kylington,26,CGY,D,33,3,5,8,-6,12
Matt Martin,34,NYI,LW,57,4,4,8,7,43
Dakota Mermis,30,MIN,D,47,3,5,8,-2,33
Colin Miller,31,2TM,D,46,4,5,9,8,26
Colin Miller,31,NJD,D,41,4,4,8,10,24
Colin Miller,31,WPG,D,5,0,1,1,-2,2
Connor Murphy,30,CHI,D,46,2,6,8,-19,40
Nikita Okhotyuk,23,2TM,D,52,1,8,9,-24,48
Nikita Okhotyuk,23,SJS,D,43,1,7,8,-22,44
Nikita Okhotyuk,23,CGY,D,9,0,1,1,-2,4
Andrew Peeke,25,2TM,D,38,1,9,10,-1,14
Andrew Peeke,25,CBJ,D,23,1,7,8,-2,6
Andrew Peeke,25,BOS,D,15,0,2,2,1,8
Marco Scandella,33,STL,D,65,2,6,8,2,15
Parker Wotherspoon,26,BOS,D,41,0,8,8,6,31
Jesse Ylönen,24,MTL,RW,59,4,4,8,2,12
Noel Acciari,32,PIT,C,55,4,3,7,-7,10
Nils Åman,23,VAN,C,43,3,4,7,-3,8
Pierre-Édouard Bellemare,38,SEA,LW,40,4,3,7,4,6
Sammy Blais,27,STL,LW,53,1,6,7,-11,31
Justin Brazeau,25,BOS,F,19,5,2,7,4,2
Mitchell Chaffee,26,TBL,F,30,4,3,7,2,4
Travis Dermott,27,ARI,D,50,2,5,7,-14,26
Dillon Dubé,25,CGY,C,43,3,4,7,-13,8
Walker Duehr,26,CGY,F,40,2,5,7,-3,6
Dennis Gilbert,27,CGY,D,34,1,6,7,-7,16
David Gustafsson,23,WPG,C,39,3,4,7,1,0
Ryan Johnson,22,BUF,D,41,0,7,7,3,12
Noah Juulsen,26,VAN,D,54,1,6,7,-1,22
Wyatt Kaiser,21,CHI,D,32,0,7,7,0,22
Matthew Kessel,23,STL,D,39,1,6,7,0,12
Ryan Lomberg,29,FLA,LW,75,5,2,7,-1,80
Daniil Miromanov,26,2TM,D,24,3,4,7,-2,8
Daniil Miromanov,26,CGY,D,20,3,4,7,0,8
Daniil Miromanov,26,VEG,D,4,0,0,0,-2,0
Mattias Samuelsson,23,BUF,D,41,1,6,7,4,26
Luke Schenn,34,NSH,D,63,1,6,7,1,43
Michael Sgarbossa,31,WSH,C,25,4,3,7,0,2
Nikita Zaitsev,32,CHI,D,38,2,5,7,-5,14
Radim Zohorna,27,PIT,F,33,4,3,7,0,18
Jonatan Berggren,23,DET,RW,12,2,4,6,-1,2
Filip Chytil,24,NYR,C,10,0,6,6,0,4
Brandt Clarke,20,LAK,D,16,2,4,6,-6,10
Joel Edmundson,30,2TM,D,53,1,5,6,-2,23
Joel Edmundson,30,WSH,D,44,1,5,6,-5,19
Joel Edmundson,30,TOR,D,9,0,0,0,3,4
Travis Hamonic,33,OTT,D,48,2,4,6,-10,40
Tyson Jost,25,BUF,C,43,3,3,6,-11,10
Gustav Lindström,25,2TM,D,46,3,7,10,12,24
Gustav Lindström,25,ANA,D,32,0,6,6,12,18
Gustav Lindström,25,MTL,D,14,3,1,4,0,6
Ivan Miroshnichenko,19,WSH,LW,21,2,4,6,-4,6
Tomáš Nosek,31,NJD,C,36,2,4,6,-11,6
Brayden Pachal,24,2TM,D,50,2,5,7,-3,51
Brayden Pachal,24,CGY,D,33,1,5,6,-1,39
Brayden Pachal,24,VEG,D,17,1,0,1,-2,12
Isaak Phillips,22,CHI,D,33,0,6,6,-26,22
Ryan Reaves,37,TOR,RW,49,4,2,6,-13,49
Carson Soucy,29,VAN,D,40,2,4,6,10,12
Jakub Vrána,27,STL,LW,21,2,4,6,-7,8
Oliver Wahlstrom,23,NYI,RW,32,2,4,6,-6,8
Simon Benoit,25,TOR,D,64,1,4,5,7,56
Samuel Bolduc,23,NYI,D,34,2,3,5,-4,6
Nick Bonino,35,NYR,C,45,1,4,5,-12,8
Nick DeSimone,29,2TM,D,34,2,5,7,3,4
Nick DeSimone,29,CGY,D,23,1,4,5,-4,2
Nick DeSimone,29,NJD,D,11,1,1,2,7,2
Jamie Drysdale,21,2TM,D,34,3,7,10,-20,8
Jamie Drysdale,21,ANA,D,10,1,4,5,-2,4
Jamie Drysdale,21,PHI,D,24,2,3,5,-18,4
Haydn Fleury,27,TBL,D,24,1,4,5,5,20
Justin Holl,32,DET,D,38,0,5,5,8,22
Reese Johnson,25,CHI,F,42,2,3,5,-20,40
Caleb Jones,26,COL,D,25,0,5,5,4,8
Axel Jonsson-Fjällby,25,WPG,LW,26,2,3,5,6,0
John Klingberg,31,TOR,D,14,0,5,5,-7,8
Brendan Lemieux,27,CAR,LW,32,3,2,5,0,64
Jake Lucchini,28,MIN,F,40,2,3,5,-3,23
John Ludvig,23,PIT,D,33,3,2,5,-12,47
Olle Lycksell,24,PHI,RW,18,1,4,5,0,6
Jacob Markström,34,CGY,G,48,0,5,5,0,0
Emil Martinsen Lilleberg,22,TBL,D,37,0,5,5,-15,16
Scott Mayfield,31,NYI,D,41,0,5,5,-7,35
Matthew Phillips,25,2TM,F,31,1,4,5,-3,0
Matthew Phillips,25,WSH,F,28,1,4,5,-3,0
Matthew Phillips,25,PIT,F,3,0,0,0,0,0
Jared Spurgeon,34,MIN,D,16,0,5,5,5,2
Marc Staal,37,PHI,D,35,1,4,5,2,14
Troy Stecher,29,2TM,D,54,1,6,7,9,32
Troy Stecher,29,ARI,D,47,1,4,5,5,24
Troy Stecher,29,EDM,D,7,0,2,2,4,8
Dominic Toninato,29,WPG,C,15,1,4,5,7,6
Shane Wright,20,SEA,C,8,4,1,5,1,0
Jaret Anderson-Dolan,24,2TM,C,31,1,3,4,-5,6
Jaret Anderson-Dolan,24,LAK,C,30,1,3,4,-4,6
Jaret Anderson-Dolan,24,NSH,C,1,0,0,0,-1,0
Ethan Bear,26,WSH,D,24,1,3,4,-5,10
Louis Belpedio,27,PHI,D,12,2,2,4,6,0
Nicolas Deslauriers,32,PHI,LW,60,1,3,4,-7,89
Derek Forbort,31,BOS,D,35,0,4,4,8,17
Jonah Gadjovich,25,FLA,LW,39,2,2,4,0,104
Brendan Gaunce,29,CBJ,C,24,2,2,4,-7,6
Taylor Hall,32,CHI,LW,10,2,2,4,-3,4
Jansen Harkins,26,PIT,C,45,0,4,4,-4,21
Ross Johnston,29,ANA,LW,68,1,3,4,-12,117
Marat Khusnutdinov,21,MIN,C,16,1,3,4,-3,6
Vladislav Kolyachonok,22,ARI,D,5,1,3,4,5,2
William Lagesson,27,2TM,D,40,0,4,4,3,32
William Lagesson,27,TOR,D,30,0,4,4,5,19
William Lagesson,27,ANA,D,10,0,0,0,-2,13
Ilya Lyubushkin,29,2TM,D,74,0,8,8,-11,57
Ilya Lyubushkin,29,ANA,D,55,0,4,4,-13,51
Ilya Lyubushkin,29,TOR,D,19,0,4,4,2,6
James Malatesta,20,CBJ,LW,11,2,2,4,-1,5
Mason Morelli,27,VEG,F,9,3,1,4,-3,0
Matthew Nieto,31,PIT,LW,22,1,3,4,5,4
Tyler Pitlick,32,NYR,C,34,1,3,4,-6,4
Jesse Puljujärvi,25,PIT,RW,22,3,1,4,2,6
Rasmus Ristolainen,29,PHI,D,31,1,3,4,-6,8
Kevin Rooney,30,CGY,C,33,3,1,4,-4,2
Chad Ruhwedel,33,2TM,D,52,1,3,4,-6,4
Chad Ruhwedel,33,PIT,D,47,1,3,4,-4,4
Chad Ruhwedel,33,NYR,D,5,0,0,0,-2,0
Zach Sanford,29,2TM,LW,29,0,6,6,0,6
Zach Sanford,29,CHI,LW,18,0,4,4,-3,2
Zach Sanford,29,ARI,LW,11,0,2,2,3,4
Devin Shore,29,SEA,C,21,1,3,4,3,4
Landon Slaggert,21,CHI,LW,16,1,3,4,1,4
Givani Smith,25,SJS,RW,36,1,3,4,-13,40
Spencer Stastney,24,NSH,D,20,2,2,4,9,4
Akil Thomas,24,LAK,C,7,3,1,4,0,2
Alex Turcotte,22,LAK,C,20,1,3,4,5,6
Austin Watson,32,TBL,LW,33,2,2,4,2,93
Maxwell Willman,28,NJD,C,18,3,1,4,1,2
Alexander Alexeyev,24,WSH,D,39,1,2,3,-8,6
Uvis Balinskis,27,FLA,D,26,1,2,3,0,8
Jordan Binnington,30,STL,G,57,0,3,3,0,8
Rourke Chartier,27,OTT,C,37,2,1,3,-4,14
Louis Crevier,22,CHI,D,24,0,3,3,-16,4
Angus Crookshank,24,OTT,LW,13,2,1,3,-3,4
Marc Del Gaizo,24,NSH,D,9,0,3,3,2,2
Trey Fix-Wolansky,24,CBJ,RW,11,2,1,3,0,2
Liam Foudy,23,2TM,C,13,0,3,3,-2,2
Liam Foudy,23,NSH,C,12,0,3,3,-2,2
Liam Foudy,23,CBJ,C,1,0,0,0,0,0
James Hamblin,24,EDM,F,31,2,1,3,3,0
Joel Hanley,32,2TM,D,42,1,4,5,3,30
Joel Hanley,32,DAL,D,32,0,3,3,3,23
Joel Hanley,32,CGY,D,10,1,1,2,0,7
Vinnie Hinostroza,29,PIT,C,14,1,2,3,-3,4
Connor Ingram,26,ARI,G,50,0,3,3,0,0
Erik Johnson,35,2TM,D,67,5,1,6,-14,26
Erik Johnson,35,BUF,D,50,3,0,3,-5,24
Erik Johnson,35,PHI,D,17,2,1,3,-9,2
Steven Lorentz,27,FLA,C,38,1,2,3,-9,10
Tristan Luneau,20,ANA,D,7,1,2,3,1,4
Zack MacEwen,27,OTT,C,30,2,1,3,-4,57
Brock McGinn,29,ANA,LW,24,1,2,3,-5,4
Jakob Pelletier,22,CGY,LW,13,1,2,3,1,2
Sheldon Rempal,28,VEG,RW,9,2,1,3,-2,4
Anthony Richard,27,BOS,C,9,1,2,3,0,2
Jonas Røndbjerg,24,VEG,RW,20,1,2,3,2,0
Mason Shaw,25,MIN,C,20,1,2,3,0,34
Ilya Solovyov,23,CGY,D,10,0,3,3,-3,4
Mitchell Stephens,26,MTL,C,23,2,1,3,2,4
Cam Talbot,36,LAK,G,54,0,3,3,0,4
Logan Thompson,26,VEG,G,46,0,3,3,0,0
Nikita Alexandrov,23,STL,C,23,0,2,2,-4,4
Ronald Attard,24,PHI,D,12,0,2,2,1,6
Adam Beckman,22,MIN,LW,11,0,2,2,-2,12
Matt Benning,29,SJS,D,14,0,2,2,-5,14
Brandon Biro,25,BUF,F,5,2,0,2,0,0
Sergei Bobrovsky,35,FLA,G,58,0,2,2,0,4
Philip Broberg,22,EDM,D,12,0,2,2,-3,0
Jake Christiansen,24,CBJ,D,12,0,2,2,-5,2
Maxwell Crozier,23,TBL,D,13,0,2,2,-2,7
Kirby Dach,23,MTL,C,2,0,2,2,2,0
Adam Edstrom,23,NYR,C,11,2,0,2,2,2
Simon Edvinsson,20,DET,D,16,1,1,2,0,4
Adam Erne,28,EDM,LW,24,1,1,2,0,9
Alexandar Georgiev,27,COL,G,63,0,2,2,0,4
Collin Graf,21,SJS,F,7,0,2,2,-4,0
Benoit-Olivier Groulx,23,ANA,C,45,0,2,2,-9,22
Denis Gurianov,26,2TM,RW,18,1,1,2,4,0
Denis Gurianov,26,NSH,RW,14,1,1,2,4,0
Denis Gurianov,26,PHI,RW,4,0,0,0,0,0
Daniil Gushchin,21,SJS,LW,4,1,1,2,-2,0
Santeri Hatakka,23,NJD,D,12,0,2,2,5,4
Matthew Highmore,27,OTT,LW,7,0,2,2,0,0
Lane Hutson,19,MTL,D,2,0,2,2,-2,0
Cole Koepke,25,TBL,LW,9,0,2,2,0,0
Milan Lucic,35,BOS,LW,4,0,2,2,-1,2
Kurtis MacDermid,29,2TM,D,45,2,1,3,4,73
Kurtis MacDermid,29,COL,D,29,2,0,2,3,23
Kurtis MacDermid,29,NJD,D,16,0,1,1,1,50
Jaycob Megna,31,CHI,D,44,0,2,2,-15,22
Carson Meyer,26,CBJ,RW,14,1,1,2,-2,2
Ben Meyers,25,2TM,F,23,1,2,3,-4,6
Ben Meyers,25,ANA,F,14,0,2,2,-2,6
Ben Meyers,25,COL,F,9,1,0,1,-2,0
Ian Mitchell,25,BOS,D,13,0,2,2,6,10
Sam Montembeault,27,MTL,G,41,0,2,2,0,0
Jordan Oesterle,31,CGY,D,22,0,2,2,-6,4
Liam Ohgren,20,MIN,LW,4,1,1,2,0,0
Nic Petan,28,MIN,C,6,0,2,2,-2,2
Vasily Podkolzin,22,VAN,RW,19,0,2,2,-4,8
Vasiliy Ponomarev,21,CAR,C,2,1,1,2,1,0
Cayden Primeau,24,MTL,G,23,0,2,2,0,2
Mikael Pyyhtia,22,CBJ,LW,17,0,2,2,-5,0
Matt Rempe,21,NYR,C,17,1,1,2,1,71
Lukáš Rousek,24,BUF,RW,15,0,2,2,-1,0
Juuse Saros,28,NSH,G,64,0,2,2,0,2
Akira Schmid,23,NJD,G,19,0,2,2,0,2
Jiri Smejkal,27,OTT,F,20,1,1,2,-6,4
Ilya Sorokin,28,NYI,G,56,0,2,2,0,0
Logan Stanley,25,WPG,D,25,1,1,2,4,36
Anthony Stolarz,30,FLA,G,27,0,2,2,0,2
Tyler Tucker,23,STL,D,26,1,1,2,1,42
Riley Tufte,25,COL,LW,5,1,1,2,-2,2
Andrei Vasilevskiy,29,TBL,G,52,0,2,2,0,2
Karel Vejmelka,27,ARI,G,38,0,2,2,0,2
Chris Wagner,32,COL,C,13,1,1,2,3,9
Jake Allen,33,2TM,G,34,0,1,1,0,2
Jake Allen,33,MTL,G,21,0,1,1,0,2
Jake Allen,33,NJD,G,13,0,0,0,0,0
Frederik Andersen,34,CAR,G,16,0,1,1,0,0
Nicklas Bäckström,36,WSH,C,8,0,1,1,-3,2
Nick Blankenburg,25,CBJ,D,12,1,0,1,1,4
Patrick Brown,31,BOS,C,11,0,1,1,-3,2
Nikita Chibrikov,20,WPG,RW,1,1,0,1,0,0
Kale Clague,25,BUF,D,3,0,1,1,0,2
Sam Colangelo,22,ANA,RW,3,1,0,1,0,2
Max Comtois,25,CAR,LW,1,0,1,1,0,0
Lukas Cormier,21,VEG,D,2,0,1,1,1,0
Logan Couture,34,SJS,C,6,0,1,1,0,4
Austin Czarnik,31,DET,C,34,0,1,1,-3,12
Nico Daws,23,NJD,G,21,0,1,1,0,0
Luca Del Bel Belluz,20,CBJ,C,1,1,0,1,1,0
Thatcher Demko,28,VAN,G,51,0,1,1,0,0
