Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM
Tage Thompson,26,BUF,C,71,29,27,56,-1,43
Quinton Byfield,21,LAK,C,80,20,35,55,19,42
Blake Coleman,32,CGY,C,78,30,24,54,19,76
Miro Heiskanen,24,DAL,D,71,9,45,54,8,36
Philipp Kurashev,24,CHI,C,75,18,36,54,-44,23
Kyle Palmieri,32,NYI,RW,82,30,24,54,-16,26
Troy Terry,26,ANA,C,76,20,34,54,-10,24
Mason Marchment,28,DAL,F,81,22,31,53,22,54
Martin Nečas,25,CAR,C,77,24,29,53,-9,42
Valeri Nichushkin,28,COL,RW,54,28,25,53,5,22
Mark Stone,31,VEG,RW,56,16,37,53,1,22
Teuvo Teräväinen,29,CAR,F,76,25,28,53,15,10
Owen Tippett,24,PHI,RW,78,28,25,53,-5,12
John Carlson,34,WSH,D,82,10,42,52,-7,40
Jake Guentzel,29,2TM,C,67,30,47,77,25,22
Jake Guentzel,29,PIT,C,50,22,30,52,9,14
Jake Guentzel,29,CAR,C,17,8,17,25,16,8
Jonathan Huberdeau,30,CGY,LW,81,12,40,52,-29,49
Timo Meier,27,NJD,RW,69,28,24,52,-28,45
Tyler Seguin,32,DAL,C,68,25,27,52,10,26
Andrei Svechnikov,23,CAR,RW,59,19,33,52,13,58
MacKenzie Weegar,30,CGY,D,82,20,32,52,2,51
Kris Letang,36,PIT,D,82,10,41,51,13,62
Chandler Stephenson,29,VEG,C,75,16,35,51,-9,25
Drew Doughty,34,LAK,D,82,15,35,50,15,44
Joel Farabee,23,PHI,LW,82,22,28,50,-13,37
John-Jason Peterka,22,BUF,RW,82,28,22,50,10,28
Juraj Slafkovsky,19,MTL,LW,82,20,30,50,-19,55
Devon Toews,29,COL,D,82,12,38,50,28,18
J.T. Compher,28,DET,LW,77,19,29,48,-5,34
Filip Hronek,26,VAN,D,81,5,43,48,33,38
Dylan Cozens,22,BUF,C,79,18,29,47,-4,42
Phillip Danault,30,LAK,C,78,17,30,47,12,18
Max Domi,28,TOR,LW,80,9,38,47,10,118
Brock Faber,21,MIN,D,82,8,39,47,-1,26
Conor Garland,27,VAN,RW,82,20,27,47,19,35
Thomas Harley,22,DAL,D,79,15,32,47,28,18
Luke Hughes,20,NJD,D,82,9,38,47,-25,28
Patrick Kane,35,DET,RW,50,20,27,47,-5,16
Charlie McAvoy,26,BOS,D,74,12,35,47,4,86
Casey Mittelstadt,25,2TM,C,80,18,39,57,10,32
Casey Mittelstadt,25,BUF,C,62,14,33,47,12,28
Casey Mittelstadt,25,COL,C,18,4,6,10,-2,4
David Perron,35,DET,LW,76,17,30,47,-12,55
Brady Skjei,29,CAR,D,80,13,34,47,15,40
Vince Dunn,27,SEA,D,59,11,35,46,8,78
Nick Paul,28,TBL,LW,82,24,22,46,-16,27
Brayden Schenn,32,STL,C,82,20,26,46,-22,56
Jeff Skinner,31,BUF,LW,74,24,22,46,-2,34
Ivan Barbashev,28,VEG,C,82,19,26,45,15,42
Nick Bjugstad,31,ARI,C,76,22,23,45,11,59
Anthony Cirelli,26,TBL,C,79,20,25,45,2,38
Mattias Ekholm,33,EDM,D,79,11,34,45,44,47
William Eklund,21,SJS,LW,80,16,29,45,-45,30
Ryan Hartman,29,MIN,RW,74,21,24,45,4,72
Alexander Kerfoot,29,ARI,C,82,13,32,45,-15,26
Thomas Novak,26,NSH,C,71,18,27,45,-3,8
Logan Cooley,19,ARI,C,82,20,24,44,-13,18
Jordan Eberle,33,SEA,RW,78,17,27,44,1,17
Evander Kane,32,EDM,LW,77,24,20,44,-4,85
Travis Sanheim,27,PHI,D,81,10,34,44,-20,48
Tyler Toffoli,31,2TM,C,79,33,22,55,-6,14
Tyler Toffoli,31,NJD,C,61,26,18,44,-15,12
Tyler Toffoli,31,WPG,C,18,7,4,11,9,2
Fabian Zetterlund,24,SJS,W,82,24,20,44,-34,33
Tyler Bertuzzi,28,TOR,LW,80,21,22,43,2,53
Brent Burns,38,CAR,D,82,10,33,43,19,20
Daniel Sprong,26,DET,RW,76,18,25,43,-5,22
Lawson Crouse,26,ARI,LW,81,23,19,42,-7,36
Adam Henrique,33,2TM,C,82,24,27,51,9,37
Adam Henrique,33,ANA,C,60,18,24,42,3,33
Adam Henrique,33,EDM,C,22,6,3,9,6,4
Kirill Marchenko,23,CBJ,RW,78,23,19,42,-5,14
Mason McTavish,21,ANA,C,64,19,23,42,-23,86
Brandon Saad,31,STL,LW,82,26,16,42,-4,20
Moritz Seider,22,DET,D,82,9,33,42,-7,51
Shea Theodore,28,VEG,D,47,5,37,42,4,6
Sam Bennett,27,FLA,C,69,20,21,41,17,100
Jakob Chychrun,25,OTT,D,82,14,27,41,-30,60
Sean Durzi,25,ARI,D,76,9,32,41,-1,63
Warren Foegele,27,EDM,LW,82,20,21,41,3,47
Morgan Frost,24,PHI,C,71,13,28,41,4,22
Nicolas Roy,26,VEG,C,70,13,28,41,8,29
Ryan Strome,30,ANA,C,79,11,30,41,-20,86
Vladimir Tarasenko,32,2TM,RW,76,23,32,55,13,12
Vladimir Tarasenko,32,OTT,RW,57,17,24,41,13,12
Vladimir Tarasenko,32,FLA,RW,19,6,8,14,0,0
